Rank;SJR-index;CiteScore;H-index;Total Docs.;Total Docs. 3y;Total Refs.;Total Cites 3y;Citable Docs. 3y;Cites/Doc. 2y;Refs./Doc.
946;2295;239;95;210;527;27975;9025;516;1695;13321
947;2294;147;73;24;69;3168;660;66;849;1320
948;2293;134;40;191;381;11323;3628;381;1008;5928
949;2293;41;62;66;137;3549;355;136;216;5377
950;2293;211;121;11;48;2241;557;42;1381;20373
952;2292;152;254;530;2018;34109;19235;1996;95;6436
953;2288;124;64;116;479;42;3106;443;682;36
954;2285;134;210;1324;3053;60067;28008;3041;901;4537
955;2284;211;200;94;260;17676;3113;256;1168;18804
956;2283;82;124;34;73;3889;375;68;324;11438
957;2283;104;159;310;566;33598;3537;558;634;10838
958;2283;108;154;764;2231;46826;13459;2153;585;6129
959;2282;46;137;111;369;4856;1207;369;30;4375
960;2281;95;239;350;726;20483;5639;726;719;5852
962;2279;99;104;103;153;8849;1348;141;926;8591
963;2277;101;98;129;206;11255;1359;197;663;8725
964;2268;76;120;140;618;8757;4126;615;643;6255
965;2267;120;105;26;69;1554;551;65;64;5977
966;2264;71;197;98;300;5996;1194;283;388;6118
967;2263;200;87;13;68;1673;686;68;807;12869
968;2259;152;251;416;1825;18902;12503;1719;616;4544
969;2257;108;104;56;107;5500;1142;104;1059;9821
970;2256;108;151;351;1023;7388;4424;810;421;2105
971;2255;110;110;351;826;5845;2969;472;315;1665
972;2254;157;194;524;2171;9354;6971;728;346;1785
973;2252;118;89;98;176;6357;1088;173;708;6487
974;2251;152;313;236;557;11586;4025;415;646;4909
975;2251;76;58;1316;2501;84012;14885;2429;563;6384
976;2248;73;89;80;170;2056;676;165;259;257
977;2245;146;54;48;210;5869;1905;207;87;12227
978;2245;155;44;9;27;1477;244;26;1011;16411
979;2243;87;319;455;1602;32310;8565;1600;505;7101
980;2243;68;187;97;278;10795;1146;266;383;11129
981;2242;100;149;381;1453;9894;4883;917;348;2597
982;2241;237;210;160;423;29999;7020;416;1633;18749
983;2241;141;75;290;724;17550;5459;668;83;6052
984;2241;116;96;26;143;962;951;142;737;370
985;224;117;63;512;1061;30507;8629;1053;831;5958
986;2238;84;218;215;338;13581;1928;337;526;6317
987;2237;80;88;168;398;11091;2643;382;728;6602
988;2237;79;71;136;338;4923;1734;327;356;362
989;2234;90;138;35;178;2537;1009;177;449;7249
990;2233;91;109;74;296;3553;1793;296;616;4801
991;2231;108;81;883;1026;23358;11028;1026;1103;2645
992;2227;188;98;45;159;2507;1357;142;943;5571
993;2225;93;115;391;873;30055;5653;873;522;7687
994;2222;91;102;260;751;18237;4223;751;515;7014
995;2222;82;33;40;247;1352;876;246;377;338
996;2221;145;164;377;954;20055;9214;949;867;532
997;2221;91;45;119;256;6556;1391;254;543;5509
998;222;135;134;197;335;20285;4091;329;1026;10297
999;2218;258;198;257;970;31309;14130;957;1353;12182
1000;2218;116;217;717;1866;42648;14060;1864;762;5948
