Rank;SJR-index;CiteScore;H-index;Total Docs.;Total Docs. 3y;Total Refs.;Total Cites 3y;Citable Docs. 3y;Cites/Doc. 2y;Refs./Doc.
351;3918;244;34;20;58;2997;763;58;1542;14985
352;3913;198;267;303;1178;6100;6570;610;547;2013
353;3904;367;130;448;1093;7615;10240;433;1038;170
354;3902;280;218;29;104;485;1501;104;130;1672
355;3896;140;39;23;59;2148;633;58;832;9339
356;3896;109;115;73;151;5914;1359;144;75;8101
357;3893;78;107;124;254;7240;1353;235;516;5839
358;3889;136;227;581;1749;24001;14576;1748;916;4131
359;388;222;112;331;746;21986;10310;713;1354;6642
360;387;75;148;127;374;5265;1560;361;203;4146
361;3868;194;167;268;424;21736;7566;403;1765;811
362;3868;202;304;411;1370;11546;10292;693;812;2809
363;3863;183;217;81;230;9947;2123;229;677;1228
364;3845;211;419;651;2609;9789;14710;1109;684;1504
365;3807;200;231;307;880;59940;11291;846;1215;19524
366;3804;124;205;99;194;10678;2215;184;746;10786
367;3799;117;416;170;395;19231;3410;393;817;11312
368;3793;187;257;0;173;0;1780;170;846;0
369;3788;204;339;321;967;9033;6869;643;663;2814
370;3787;123;153;47;126;3397;1295;105;1002;7228
371;3768;196;346;293;859;15819;5777;521;624;5399
372;3766;67;122;95;217;7447;1205;217;534;7839
373;3757;142;38;16;53;962;665;53;1491;6013
374;3749;87;161;55;74;6562;573;71;698;11931
375;3747;174;149;2193;3228;85953;40047;3186;1161;3919
376;3746;185;148;235;707;7053;7364;704;1039;3001
377;3742;226;324;443;1534;21551;12712;1108;926;4865
378;3734;47;80;36;73;1605;257;67;345;4458
379;3729;182;243;115;267;18834;2676;248;924;16377
380;3726;155;293;729;1548;14969;13691;1532;782;2053
381;3719;176;267;27;78;5703;908;76;1069;21122
382;3709;225;118;235;544;17327;8461;535;1378;7373
383;3703;157;275;66;343;4284;2451;325;727;6491
384;37;58;138;186;255;10338;1152;255;416;5558
385;3699;134;68;170;423;5210;3047;268;769;3065
386;3697;149;238;287;793;17986;7597;793;727;6267
387;3697;137;76;150;411;8312;3784;411;836;5541
388;3696;235;54;24;64;3129;848;61;1197;13038
389;3688;189;159;788;1391;29800;15332;1384;963;3782
390;3682;238;215;185;608;14309;9988;606;1558;7735
391;3679;110;210;49;123;4287;1080;114;76;8749
392;3668;171;144;24;68;2511;771;56;896;10463
393;3667;265;51;46;136;4101;3100;131;491;8915
394;3664;133;405;225;932;14515;5966;893;638;6451
395;3663;169;264;212;606;6722;3258;259;571;3171
396;3657;107;305;619;1599;20845;11512;1579;639;3368
397;3646;160;380;352;862;16426;6604;650;777;4666
398;3634;151;271;186;495;15916;5268;484;803;8557
399;3629;194;88;344;722;26228;9584;712;1233;7624
400;3623;204;193;389;1197;5406;5356;431;442;139
401;3619;204;210;258;774;18101;9411;769;117;7016
402;3605;128;81;246;651;17908;5204;642;689;728
403;3604;146;168;81;230;10061;2325;228;949;12421
404;359;92;110;109;152;6485;1146;152;789;595
405;3589;207;153;94;281;7990;3546;280;1167;850
406;3587;215;185;421;1286;11452;10879;837;952;272
408;3583;181;237;134;343;9204;2517;327;688;6869
409;3581;248;75;107;322;7931;3662;310;1128;7412
410;3579;48;154;194;305;8832;1300;305;312;4553
411;3579;209;179;55;213;3854;2771;210;1412;7007
412;3577;188;200;401;1557;13628;12788;985;868;3399
413;3566;46;127;37;216;1235;719;205;31;3338
414;3566;145;129;93;159;9927;1957;148;1111;10674
415;3561;229;236;169;558;13897;8953;556;1535;8223
416;3558;235;243;203;663;11771;7908;629;1163;5799
417;3552;188;116;133;480;5580;4690;468;813;4195
418;3545;220;107;159;640;9563;7533;441;1279;6014
419;3541;189;237;526;1076;40961;10704;969;929;7787
420;354;180;531;1426;3719;64284;41210;3704;1074;4508
421;3533;190;211;569;818;20686;9866;810;1158;3636
422;3525;167;40;221;399;6471;3769;212;945;2928
423;3525;239;98;111;307;7550;4707;289;1493;6802
424;351;176;186;105;369;3044;2037;185;536;2899
425;3508;108;152;133;224;12502;1943;217;786;940
426;3501;119;199;248;978;2530;5273;729;587;102
427;3471;123;40;47;85;4853;824;83;90;10326
428;3468;274;221;149;367;8936;4274;355;1054;5997
430;3457;231;140;57;150;7327;2380;148;1843;12854
431;3456;81;80;139;217;8167;1075;215;417;5876
432;3456;192;175;289;808;13302;8009;613;987;4603
433;345;292;329;851;2881;22259;17663;1834;648;2616
434;3447;219;234;1592;1560;32858;19156;1549;1106;2064
435;3447;142;172;488;947;25498;9506;878;865;5225
437;3426;159;201;145;543;8292;6447;529;1174;5719
438;3425;179;197;301;733;16958;7132;645;919;5634
439;3423;135;238;327;952;21842;7471;925;846;668
440;3421;136;46;279;462;17559;5179;452;1124;6294
441;3419;126;44;144;299;6306;2582;290;91;4379
442;3415;107;28;3;11;605;73;11;40;20167
443;3408;80;169;60;216;5929;1461;210;514;9882
444;3403;168;100;537;1397;20980;14294;1385;888;3907
445;3397;71;209;310;583;13692;2414;536;344;4417
446;3395;190;276;1868;3483;130598;47741;3461;1311;6991
447;3391;55;151;92;265;4818;1094;262;322;5237
448;338;178;104;190;505;13854;6176;489;125;7292
449;3376;171;211;344;1098;13725;8402;895;759;399
451;3369;225;209;151;413;11858;6514;399;1645;7853
452;3367;192;82;78;282;4426;2359;152;1049;5674
453;3363;141;256;125;509;3908;5099;488;1112;3126
454;3362;107;237;337;867;10241;5428;620;609;3039
455;3358;46;58;54;269;2191;665;269;233;4057
456;3349;176;250;203;756;8834;6340;691;747;4352
457;3343;192;93;57;180;7110;2154;167;1037;12474
458;3341;141;299;1296;3358;42965;29179;3354;826;3315
459;3339;155;192;446;951;27752;10863;950;1109;6222
460;3338;198;354;1285;3236;82394;44921;3213;1313;6412
461;3337;81;129;35;127;2892;817;126;547;8263
462;3335;59;118;52;126;3008;429;126;329;5785
463;3327;166;109;25;72;1811;902;72;1178;7244
464;3313;246;40;12;46;818;832;46;1429;6817
465;3313;41;32;50;125;2431;267;125;185;4862
466;3311;122;163;128;328;7884;2512;270;83;6159
467;3308;192;174;261;735;17984;10707;730;1403;689
468;3305;147;58;145;383;7628;3387;382;76;5261
469;3304;111;142;69;196;3142;1676;185;995;4554
470;3297;159;27;40;134;2993;597;10;433;7483
471;3292;181;213;205;475;16202;4849;387;935;7903
472;3288;147;150;862;729;19604;6748;698;825;2274
473;3286;50;26;0;3;0;13;3;0;0
474;3277;144;94;553;1672;32712;14085;1668;804;5915
475;3273;149;168;59;128;6278;1092;127;641;10641
477;3273;116;202;305;907;16544;5257;675;557;5424
478;3269;181;71;280;808;10719;5362;397;647;3828
479;3269;174;88;58;110;5753;1606;109;1285;9919
480;3263;99;85;29;113;1718;815;85;67;5924
481;326;121;157;203;708;11308;5504;704;982;557
482;3257;82;177;74;218;5461;1444;217;564;738
483;3249;166;159;170;295;15078;3777;284;1218;8869
484;3245;30;6;0;22;0;61;22;20;0
485;3245;210;237;53;150;6509;1917;148;1025;12281
486;3245;129;132;64;169;7276;1823;164;1043;11369
487;3244;236;150;66;155;10029;2124;141;97;15195
488;3234;47;95;18;36;1564;118;36;267;8689
489;3232;263;378;1032;2553;126919;47248;2543;1742;12298
490;3222;141;162;43;105;4425;1131;86;104;10291
491;3218;176;67;233;442;9840;5310;437;1339;4223
492;3217;37;90;57;201;2148;457;201;215;3768
494;3213;303;293;158;439;9051;5516;422;1148;5728
495;3212;128;213;174;471;10742;3109;435;667;6174
496;3206;150;223;119;319;8007;2957;301;913;6729
497;3206;331;125;41;52;10659;988;52;1411;25998
498;3205;128;160;142;482;7139;3892;477;677;5027
499;3204;187;126;6;19;1763;200;19;938;29383
500;3202;36;121;27;116;1102;256;116;205;4081
501;3197;114;39;169;304;8741;2707;293;911;5172
502;3197;125;36;100;85;5477;1195;84;138;5477
503;3195;199;159;294;667;18551;9616;663;1241;631
504;3194;171;323;1580;3290;37053;31194;3284;841;2345
505;3187;125;123;72;231;6575;2368;227;1197;9132
506;3185;140;196;103;237;8664;1771;237;659;8412
507;3178;159;225;244;773;6121;5305;493;669;2509
508;3175;84;61;33;85;3285;610;78;722;9955
509;3158;244;162;32;84;7467;1368;84;1483;23334
510;3156;220;270;2308;7283;156839;93820;7280;1219;6795
511;3147;149;135;269;415;19266;4956;409;1149;7162
512;3139;70;160;118;343;6224;1833;342;528;5275
513;3135;136;90;33;69;3254;735;54;896;9861
514;3133;143;242;285;639;5847;3942;473;675;2052
515;3128;389;35;1;10;278;171;10;190;2780
516;3123;167;456;1819;4900;112398;56132;4755;1072;6179
517;312;66;129;298;542;18335;3091;538;513;6153
518;3118;170;674;2120;7909;116662;69882;7841;857;5503
519;3117;131;62;21;66;1396;442;65;451;6648
520;3115;65;94;49;160;913;788;142;453;1863
521;3115;200;169;384;465;70432;6476;439;133;18342
522;3106;166;111;53;115;6640;1441;112;1268;12528
523;3101;192;66;53;84;5631;923;70;1112;10625
524;3099;44;92;62;272;2376;662;272;228;3832
525;3092;107;87;547;1474;8341;10001;1473;705;1525
526;3086;129;262;302;705;27032;5385;704;754;8951
527;3086;221;204;358;1109;12603;8687;841;911;352
528;3083;160;97;80;221;3124;1751;77;759;3905
529;3078;62;32;37;117;1947;461;116;333;5262
530;3076;79;126;63;140;3263;763;137;597;5179
531;3075;220;227;738;2427;51029;33143;2394;1281;6914
532;3072;94;53;80;333;4046;1276;295;343;5058
533;307;115;69;670;1635;23477;10735;1561;669;3504
534;3068;143;250;667;1548;21867;9140;1021;589;3278
535;3064;107;161;43;134;3488;1071;127;60;8112
536;3063;211;220;220;458;45795;6285;458;1356;20816
537;3061;101;98;46;130;2774;955;112;86;603
538;3058;163;48;144;225;8630;3576;225;1726;5993
539;3053;172;168;105;321;8288;3061;250;873;7893
540;305;156;255;540;1699;10338;12126;1507;819;1914
541;3048;46;138;179;418;9025;1595;415;331;5042
542;3047;176;285;749;2253;53869;21237;1949;875;7192
543;3043;110;230;368;906;10432;5999;881;609;2835
544;3041;46;105;110;428;4942;1082;427;234;4493
545;3039;147;187;564;1300;34772;16102;1292;1254;6165
546;3033;243;184;269;1160;16303;12925;987;1284;6061
547;3028;193;214;256;941;18968;12948;928;1349;7409
548;3028;128;196;69;246;2357;2146;246;786;3416
549;3026;117;242;126;442;9154;2697;424;566;7265
550;3025;134;234;205;456;9080;3439;353;707;4429
551;3024;37;74;34;112;1245;273;112;211;3662
552;3017;27;51;26;70;1863;155;70;217;7165
553;3014;66;116;113;206;4871;1204;206;598;4311
554;3012;62;115;100;268;7960;1378;268;397;796
555;3007;175;145;201;438;30777;6018;435;1328;15312
557;3002;140;125;43;112;2097;773;76;675;4877
558;2986;92;81;68;121;3784;880;121;889;5565
559;2985;127;26;79;122;7832;1304;120;1069;9914
560;2985;132;69;14;46;1738;446;43;783;12414
561;2985;115;119;104;476;2226;2693;397;569;214
562;2984;169;483;392;1632;17897;14665;1617;792;4566
563;2982;233;348;276;621;57388;10348;591;1583;20793
564;2978;71;130;62;158;3544;842;151;469;5716
565;2977;153;64;260;515;17516;5695;513;905;6737
566;2976;181;170;628;1238;39959;15771;1217;1256;6363
567;2974;235;195;113;335;8167;3264;314;901;7227
568;2972;229;86;214;712;8701;7653;565;1155;4066
570;297;76;36;30;35;3828;267;31;754;1276
571;2969;163;231;248;784;7054;4747;459;664;2844
572;2966;189;127;224;378;19257;5160;375;1372;8597
573;2966;87;92;84;271;2661;1314;230;462;3168
574;2965;138;90;89;163;8243;1575;152;915;9262
575;2964;233;234;107;290;6960;3252;282;1086;6505
576;2962;169;99;164;279;9687;3169;235;1066;5907
577;2955;169;48;46;172;1841;1604;138;98;4002
578;2953;59;133;44;114;2233;407;104;337;5075
579;2952;34;78;44;115;1488;250;115;208;3382
580;2951;162;335;635;2041;20482;11322;1344;489;3226
581;2945;165;208;141;411;11646;4242;399;93;826
582;294;122;442;958;2939;22762;21076;2925;605;2376
583;2934;143;250;296;924;21726;9123;918;947;734
584;2932;40;59;1;75;39;163;75;235;390
585;2928;183;151;219;891;17816;12247;879;1362;8135
586;2928;149;194;811;1770;18332;9256;1275;529;226
587;2927;203;148;13;58;1790;706;58;997;13769
588;2926;128;175;83;305;7221;3733;286;1202;870
589;2926;151;340;750;2332;45496;22983;2332;945;6066
590;2913;154;30;52;104;4396;1340;103;1438;8454
591;2909;162;86;169;440;7531;4529;411;104;4456
592;2909;113;140;564;1813;6373;6511;936;33;113
593;2907;211;264;1822;4787;102016;62737;4768;127;5599
595;2902;222;132;402;1001;13536;10574;738;1123;3367
596;2901;151;121;351;1007;9379;5841;539;594;2672
597;29;177;98;620;1901;30202;14184;1356;754;4871
598;2899;234;131;132;195;19536;3219;195;1597;1480
599;2898;205;100;52;127;4031;1434;108;1031;7752
600;2898;111;235;806;1354;15826;9192;1085;615;1964
601;2896;177;135;71;146;7528;2157;143;1237;10603
602;2895;160;236;945;2331;91165;32690;2283;1344;9647
603;2889;201;98;78;131;12659;1679;130;1409;16229
604;2886;204;155;132;491;9679;5456;448;927;7333
605;2884;62;197;37;91;4307;454;90;41;11641
607;2881;201;111;161;447;8511;5569;445;1333;5286
608;2881;223;129;36;101;5929;1456;101;1188;16469
609;2875;166;77;59;127;4521;1607;123;1255;7663
610;2873;25;108;154;371;6357;652;370;163;4128
611;2872;201;246;396;982;16620;12453;981;1156;4197
612;287;115;36;101;147;6687;1339;145;836;6621
613;287;178;131;383;619;34266;9705;614;1488;8947
614;2869;159;409;1074;3041;65462;28273;2996;855;6095
615;2869;117;64;79;205;4682;1741;192;885;5927
616;2868;98;97;50;143;4785;988;135;721;957
617;2867;141;259;433;1195;21677;9529;1038;76;5006
619;2866;139;101;216;670;6324;4183;543;613;2928
620;2864;116;378;670;2509;4247;13679;1875;522;634
621;2863;38;69;39;105;2304;246;105;204;5908
622;2861;125;126;82;316;5002;2539;310;622;610
623;2859;161;63;99;186;4491;2185;186;1055;4536
624;2857;139;128;43;68;7128;809;65;993;16577
625;2854;120;300;151;474;6760;3523;435;758;4477
626;2852;122;118;80;159;9331;1531;154;839;11664
627;2852;135;117;20;91;4035;697;91;678;20175
628;285;142;134;91;283;5720;3010;274;1214;6286
629;2844;99;86;30;119;1322;914;119;681;4407
630;284;144;160;250;534;19339;5363;533;1005;7736
631;2837;215;100;36;53;5942;849;53;1416;16506
632;2833;126;50;58;90;3761;1112;90;1358;6484
633;283;125;174;158;531;7843;3039;445;479;4964
634;2828;86;111;47;168;2528;879;143;625;5379
635;2827;91;123;67;252;3298;1452;249;432;4922
636;2825;142;62;6;36;2948;265;34;544;49133
637;2818;31;37;55;172;1852;367;172;209;3367
638;2815;231;84;280;698;10982;7480;581;1219;3922
639;2815;138;232;227;786;5971;5117;664;612;263
640;2809;126;89;220;577;16594;4734;565;795;7543
641;2806;121;347;884;2682;38934;14944;2239;507;4404
642;2806;100;73;12;28;1379;252;28;957;11492
643;2805;126;140;248;589;13117;4973;578;687;5289
644;2803;215;280;6566;10930;395465;177793;10916;163;6023
645;2803;164;105;74;198;8516;1761;197;735;11508
646;2802;136;204;1343;3663;41352;30622;3650;772;3079
647;2801;97;230;85;152;11771;1106;140;625;13848
648;2801;44;69;92;347;3619;887;347;241;3934
649;2798;147;287;163;906;8315;6924;799;71;5101
650;2792;150;119;130;341;11115;2519;314;756;855
651;2786;148;195;524;1515;14098;5170;668;317;269
652;2785;126;294;458;1750;9783;7345;996;439;2136
653;2779;134;118;67;156;4418;1151;155;824;6594
654;2776;192;137;225;697;13046;7883;660;1079;5798
655;2776;159;210;439;1535;11079;8931;1110;638;2524
656;2768;185;169;65;281;9202;2747;270;949;14157
657;2768;147;56;0;53;0;333;52;637;0
658;2767;117;54;292;379;19622;4467;378;1184;672
659;2766;95;35;17;70;1283;456;70;365;7547
660;2766;138;179;285;897;4779;3716;368;449;1677
661;2762;152;209;1504;4235;102938;37513;4217;854;6844
662;2758;139;288;313;1282;13673;8858;1124;689;4368
663;2754;191;93;706;1450;49977;18605;1399;134;7079
664;2753;112;160;383;520;23804;4261;517;654;6215
665;2748;266;141;66;250;13266;3606;245;1406;2010
666;2748;163;100;57;126;5541;1166;104;741;9721
667;2746;129;343;572;2192;18470;12846;1709;563;3229
668;2745;154;149;273;971;8415;5799;817;592;3082
669;2742;160;92;228;458;14429;6034;450;1373;6329
670;2738;55;78;77;127;4457;435;126;264;5788
671;2738;197;65;423;489;33167;9213;488;1856;7841
672;2738;150;163;199;616;11907;5237;612;76;5983
673;2737;90;29;101;162;3515;988;141;52;348
674;2736;122;327;559;1879;16694;9376;1346;479;2986
675;2734;221;191;461;1306;18961;8981;646;716;4113
676;2732;128;157;235;418;19192;4105;414;867;8167
677;273;110;105;12;31;1421;198;31;665;11842
678;2729;141;101;184;378;14317;3596;339;1053;7781
679;2729;165;180;59;251;3439;2407;244;1056;5829
680;2727;112;37;18;82;1269;593;82;632;705
681;2726;145;184;603;2008;34396;14707;2008;715;5704
682;2723;196;42;105;113;7545;1912;111;1903;7186
683;2722;104;169;51;185;2525;1425;184;562;4951
684;2721;313;242;154;393;11148;5433;372;127;7239
685;2716;234;418;561;1758;43030;25099;1756;1374;767
686;2716;127;177;280;378;13054;3913;378;1022;4662
687;2714;239;61;124;375;6388;6436;375;1043;5152
688;271;117;151;250;639;7144;3906;388;544;2858
689;2709;126;142;157;459;9097;4087;456;876;5794
690;2704;63;31;42;129;1271;630;129;227;3026
691;2702;87;45;254;496;14495;3381;496;622;5707
692;2699;172;187;139;524;13221;4839;482;83;9512
693;2698;125;204;87;318;4997;2040;291;656;5744
694;2695;128;88;103;268;9062;2142;251;711;8798
695;2694;89;120;25;70;399;424;47;379;1596
696;269;196;69;155;545;1433;3486;372;74;925
697;2688;153;182;121;318;11119;3829;314;1123;9189
698;2685;224;60;23;163;3817;2554;161;1572;16596
699;2682;203;170;603;1594;40111;21926;1575;1322;6652
700;2679;138;160;124;505;6858;4355;503;749;5531
701;2677;199;69;110;260;6255;2613;186;977;5686
702;2674;116;182;2153;1478;95123;17482;1463;1149;4418
703;267;47;122;16;58;1116;199;58;355;6975
704;2665;125;43;87;189;5075;1820;189;911;5833
705;2664;152;249;98;275;13046;2412;262;644;13312
706;2658;138;161;240;675;22951;7206;622;1066;9563
707;2657;164;151;132;323;21120;3899;321;1109;1600
708;2652;148;141;42;173;5623;1466;155;685;13388
709;2652;147;154;283;907;13380;7906;907;803;4728
710;2651;53;85;16;49;1543;218;49;452;9644
711;265;120;88;197;471;10300;4100;467;818;5228
712;2649;102;108;23;67;3188;553;67;688;13861
713;2649;149;39;118;93;9020;1727;93;2031;7644
714;2646;189;88;169;450;9776;5251;444;1086;5785
715;2646;211;117;138;379;8077;5360;376;1204;5853
716;2645;87;293;550;1695;8021;6936;967;415;1458
717;2644;172;155;788;1602;69506;22668;1583;1364;8821
718;2643;142;174;18;56;2782;563;53;807;15456
719;2641;99;100;780;1210;22591;8047;1192;65;2896
720;2635;123;359;248;752;10334;4913;685;622;4167
721;2634;114;65;173;264;10552;2143;249;656;6099
722;2633;170;114;675;1666;39736;20878;1664;1129;5887
723;2631;108;48;55;102;2888;1100;94;1429;5251
724;2631;166;132;126;326;6087;3002;312;816;4831
725;2629;271;226;167;356;31361;6524;352;1674;18779
726;2629;144;50;146;385;4518;1958;217;464;3095
727;2621;171;175;50;172;6357;2076;160;128;12714
728;2618;225;42;51;104;2328;1556;104;1544;4565
729;2618;108;155;99;217;8681;2368;208;1011;8769
730;2618;187;102;130;211;11820;2278;191;1205;9092
731;2617;136;38;165;497;7806;3775;333;733;4731
732;2616;136;68;116;485;4504;3329;413;724;3883
733;2615;88;13;7;24;233;133;24;282;3329
734;261;83;109;87;211;6313;1361;208;515;7256
735;2606;104;126;72;132;5013;1104;120;697;6963
736;2605;78;156;25;102;1434;703;101;70;5736
737;2603;297;58;54;112;3859;1714;112;1621;7146
738;2603;148;71;120;206;7636;2178;202;544;6363
739;2602;137;219;382;1169;11753;6842;733;567;3077
740;2602;86;46;32;72;3384;470;69;613;10575
741;26;144;96;228;503;17355;6152;491;1222;7612
742;2599;134;271;474;1188;72829;10600;1116;805;15365
743;2598;130;170;262;741;9525;5056;701;698;3635
744;2597;123;249;169;506;3122;2506;344;507;1847
745;2597;131;35;108;359;0;2049;267;592;0
746;2597;239;79;476;1320;10415;8023;542;729;2188
747;2596;220;85;78;189;5278;2457;177;1548;6767
748;2594;129;155;233;483;16621;4163;462;866;7133
749;2594;249;130;119;377;9977;4236;376;1284;8384
750;259;120;229;538;1093;50260;9971;1067;811;9342
751;2589;67;21;79;198;3236;885;198;459;4096
752;2588;31;70;75;181;3537;338;178;198;4716
753;2587;142;70;104;340;5646;3361;317;1131;5429
754;2586;96;63;40;186;3194;916;186;367;7985
755;258;133;28;0;56;0;478;56;544;0
756;2578;193;191;825;2251;46173;29174;2248;1234;5597
757;2575;178;58;62;125;5898;1430;123;105;9513
758;2572;126;161;289;920;6728;4388;563;451;2328
759;2572;126;149;81;335;4379;2699;324;799;5406
760;2572;94;108;77;161;4526;829;106;52;5878
761;2571;153;54;54;129;6294;1382;124;1088;11656
762;257;202;329;2929;6555;203879;95449;6538;1499;6961
763;2566;217;147;183;446;30914;7907;436;1634;16893
764;2565;81;63;39;361;1386;1430;361;414;3554
765;2564;28;82;42;71;2082;144;63;163;4957
766;2562;95;54;256;764;5018;2668;447;354;196
767;2557;133;155;391;1397;11389;6950;877;512;2913
768;2553;95;73;8;27;635;233;27;1108;7938
769;2552;233;141;142;498;12015;4542;363;1001;8461
770;2552;25;18;23;80;984;137;80;163;4278
771;2552;177;138;36;128;3751;986;104;602;10419
772;2551;215;89;273;596;21442;8516;578;1653;7854
773;2545;48;79;24;72;1189;289;71;465;4954
774;2543;161;120;339;967;28336;12434;958;124;8359
775;2541;149;198;158;503;8722;3691;471;729;552
776;2541;131;151;647;710;14071;4959;710;655;2175
777;2541;153;203;140;440;7823;3164;402;704;5588
779;2537;124;396;1106;3588;25115;16315;2266;457;2271
780;2536;31;88;66;181;2213;392;181;195;3353
781;2529;141;65;73;197;4778;1793;197;828;6545
782;2524;148;124;942;1901;54337;19124;1887;939;5768
783;2522;90;141;88;266;4652;1615;263;45;5286
784;2522;252;231;316;1283;33643;22339;1190;1674;10647
785;252;136;108;34;64;2252;588;59;683;6624
786;252;166;67;45;139;4040;1920;135;1512;8978
787;252;185;102;104;277;10172;3243;277;1078;9781
788;2519;183;120;324;1141;21964;12864;1120;1089;6779
789;2518;194;79;327;551;26282;7868;528;1418;8037
790;2517;103;91;103;166;9114;1389;163;572;8849
791;2515;38;83;80;236;3032;473;234;185;379
792;2514;191;232;1323;3521;81288;41649;3500;1146;6144
793;2514;152;196;100;359;6615;2692;327;71;6615
794;2513;156;68;21;40;3094;470;37;1126;14733
795;2512;116;399;815;3136;66316;20241;3103;568;8137
796;2511;104;241;102;308;10102;2136;307;60;9904
797;251;105;61;267;385;21843;3387;354;802;8181
798;251;134;102;86;309;6116;2845;309;70;7112
799;2504;83;115;109;272;8670;1696;271;602;7954
800;2504;109;206;307;1070;23059;8048;964;722;7511
801;2503;101;289;448;1344;20904;8394;1341;58;4666
802;2501;158;100;97;244;4813;2577;244;977;4962
803;25;136;113;278;619;23284;7040;609;1223;8376
804;2497;88;156;28;78;2863;601;77;673;10225
805;2495;36;112;75;173;3317;490;173;236;4423
807;2493;264;103;35;61;6085;1014;61;1371;17386
808;249;112;233;641;2060;41871;13506;2038;658;6532
809;249;230;101;270;439;32923;6788;438;1501;12194
810;2487;107;64;523;519;14799;4582;516;80;283
811;2487;149;201;415;1331;11926;6409;588;415;2874
812;2486;137;149;1363;1344;84996;14344;1337;1049;6236
813;2486;190;63;140;383;11699;3823;369;982;8356
814;2481;170;119;76;136;6568;1465;124;1222;8642
815;2481;183;234;294;922;15602;6118;653;694;5307
816;248;98;245;351;1524;5616;7032;1152;45;160
817;2478;111;140;37;122;3603;919;122;497;9738
818;2478;29;54;55;166;2153;308;166;181;3915
819;2477;99;252;487;1353;19758;7686;1174;503;4057
820;2475;152;195;1141;2319;51525;23139;2304;100;4516
821;2475;180;106;71;230;2736;2511;174;848;3854
822;2473;190;341;1935;4872;109446;61423;4852;126;5656
